ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,194,387,246,17,92
2,336,316,315,266,316
1,398,386,380,256,376
3,421,503,457,363,412
4,483,1162,854,442,451
5,553,1713,1653,1093,1593
6,714,2178,1913,1558,1606
8,822,2581,2331,2071,2081
7,893,2520,2520,2510,2520
9,1053,3032,2766,2362,2411
11,1114,3123,3052,2973,3002
10,1130,4138,3794,3108,3607
12,1268,4542,4282,4002,4030
13,1336,5015,4671,4475,4484
15,1506,5517,5306,4847,5145
16,1605,5929,5695,5419,5428
14,1623,6223,6138,5913,6031
17,1742,6315,6215,6105,6115
18,2027,6241,6143,6031,6040
19,2069,6991,6694,6201,6320
21,2198,6883,6877,6863,6872
20,2201,7390,7385,6880,7380
23,2332,7269,7269,7259,7269
24,2401,7442,7391,7202,7321
22,2451,8533,8062,7393,7892
25,2527,8547,8547,8457,8547
26,2677,9078,8755,8398,8488
27,2751,9346,9209,9006,9015
29,2918,9189,9189,9179,9189
28,2927,9190,9190,9180,9190
30,3008,9410,9310,9110,9210
31,3123,9415,9415,9295,9415
32,3397,9182,9166,9142,9151
34,3420,9970,9624,9160,9279
33,3523,10659,10261,9869,9877
35,3546,10837,10763,10637,10666
36,3844,10630,10593,10540,10549
37,3998,11459,10996,10479,10506
38,4077,11600,11539,11380,11480
40,4080,12058,11899,11598,11647
39,4128,12161,12124,12011,12060
41,4231,12359,12309,12059,12259
42,4331,12940,12536,12260,12379
43,4503,12878,12872,12768,12868
46,4623,12909,12857,12759,12808
44,4644,12898,12898,12888,12898
45,4719,13303,13149,12823,12923
47,4725,14248,13897,13298,13348
48,4964,14369,14165,14009,14059
49,5178,15257,14756,14157,14256
