ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,40,18,12,8,18
3,380,215,215,135,215
4,563,42,42,32,42
8,1065,529,529,419,529
16,1806,70,70,20,70
17,1804,153,153,73,153
15,1707,340,229,200,119
23,2449,75,75,45,75
22,2274,511,325,201,138
28,2953,134,134,14,134
30,3257,32,32,22,32
33,3421,159,159,79,159
34,3544,117,117,67,117
42,4325,222,222,82,222
49,4915,64,64,14,64
44,4410,659,410,319,217
52,5447,176,176,86,176
54,5626,108,107,58,108
55,5721,43,43,13,43
59,6190,86,86,56,86
29,3097,3903,3176,3563,272
74,7487,45,39,25,34
73,7426,256,256,126,256
76,7672,51,35,11,20
79,7938,46,46,36,46
72,7428,758,724,508,657
35,3510,5028,5028,4898,5028
80,8094,554,554,454,554
37,3722,5237,1948,4877,130
88,8930,59,59,29,59
13,1499,7771,7771,7671,7771
91,9271,149,149,99,149
90,9259,643,643,543,643
89,9009,1275,1275,1095,1275
99,10037,447,396,247,347
9,1114,9471,6329,9251,46
24,2400,8386,8386,8166,8386
68,7041,3864,1367,3644,119
7,892,10495,6371,10145,187
36,3673,8195,2901,7975,89
95,9573,3256,1664,3086,48
18,2030,11161,8425,10841,219
2,375,12937,6583,12697,130
45,4566,8986,8986,8866,8986
51,5338,8454,2794,8164,909
64,6627,7485,3793,7255,101
57,5768,8945,1968,8485,77
85,8515,6398,6397,6198,6398
62,6303,8811,8811,8401,8811
66,6646,8669,8669,8469,8669
65,6589,9327,6515,8927,892
12,1351,14766,14766,14536,14766
67,6806,9511,9511,9231,9511
5,732,15986,15986,15786,15986
6,674,16245,9852,15815,264
38,4033,13687,11201,13167,7474
86,8679,9441,9441,9231,9441
83,8396,9925,9925,9625,9925
98,9944,8577,8577,8327,8577
96,9634,9487,9487,9237,9487
97,9981,9341,9340,8791,9341
56,5748,13775,9240,13225,47
1,323,19500,14637,18910,50
14,1675,18448,9460,18058,473
31,3249,17175,17175,16565,17175
19,2131,18593,10201,17873,27
58,5970,15354,11561,14954,185
11,1158,20768,8375,20278,13
61,6112,16113,13313,15303,4913
69,6939,15587,15587,15227,15587
10,1021,21806,17521,21356,381
27,2980,20147,20147,19647,20147
71,7288,17039,12577,16209,93
40,4238,20390,20390,20060,20390
41,4127,20802,20020,20092,16898
81,8136,17092,11171,16222,612
50,5238,20291,5207,19811,123
75,7656,18173,14849,17443,9863
78,7820,18309,5529,17869,1269
20,2255,24175,24175,23495,24175
53,5553,21478,21477,21018,21478
48,5039,22992,17254,22352,41
47,4870,23661,11859,23111,59
26,2657,27375,27375,26375,27375
25,2606,27927,22413,26907,360
32,3330,27703,21646,26473,421
92,9495,22038,11207,21338,65
46,4697,27337,7264,26667,574
43,4424,28111,19035,27291,14498
77,7797,25237,16857,24657,97
93,9394,25141,24640,23931,24140
82,8334,26701,22139,25781,3894
84,8498,27037,27037,25907,27037
60,6135,29900,29900,29400,29900
70,7112,29424,22082,28714,58
87,8834,28702,28702,28202,28702
94,9626,28411,22804,27601,377
63,6377,32160,28357,30950,22654
21,2172,36866,24012,35546,8975
39,3900,35638,28518,34768,43
