ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,34,151,96,11,61
1,139,275,275,65,275
3,472,114,98,54,83
4,619,240,240,80,240
7,838,292,292,202,292
9,1048,557,359,387,163
20,2246,94,94,4,94
8,1094,1347,884,1167,421
21,2372,119,119,69,119
22,2273,328,328,228,328
24,2628,114,114,84,114
15,1750,1214,1183,824,1093
11,1242,1842,1841,1572,1842
30,3100,24,24,14,24
29,3073,253,253,43,253
32,3323,13,13,3,13
31,3324,102,102,12,102
27,2985,542,542,432,542
35,3537,51,51,41,50
36,3705,74,74,64,74
34,3545,1068,1068,738,1068
45,4631,364,364,264,364
41,4298,1149,1149,1019,1149
51,5382,85,85,75,85
54,5463,175,175,85,175
55,5571,198,136,68,107
48,4897,992,710,782,429
61,6217,254,164,154,74
56,5788,924,676,664,180
65,6728,295,194,185,94
52,5332,2073,2073,1953,2073
75,7580,166,166,136,166
77,7720,398,264,228,197
79,8060,67,67,57,67
76,7852,437,389,167,357
82,8451,49,49,39,49
83,8525,276,231,136,186
99,9993,365,365,245,365
88,8828,2131,1015,1831,84
89,9143,1917,1547,1527,70
73,7564,3596,3596,3276,3596
72,7461,4020,4020,3890,4020
80,8279,3442,3442,3322,3442
71,7360,4481,2307,4221,74
86,8734,3348,3348,3088,3348
90,9091,3111,1540,2811,423
91,9129,3193,1704,2933,215
93,9534,3029,1360,2609,61
70,7007,5917,5856,5507,5676
5,643,12683,6495,12393,307
33,3525,10001,2634,9621,52
84,8450,5475,3693,5095,130
46,4608,9919,6624,9659,36
87,8954,6173,4135,5803,59
44,4699,10629,5367,10379,105
57,5838,10492,5411,10212,332
17,1955,14776,14776,14576,14776
95,9753,7378,3713,7078,43
62,6302,11231,5870,10931,511
63,6384,11751,7880,11301,138
18,1809,16527,14422,16127,12319
64,6496,12440,3196,12150,116
12,1215,17922,17922,17722,17922
37,3856,15481,12389,14941,24
40,4063,16174,16174,15844,16174
74,7479,13058,8590,12638,4122
39,4045,16793,11227,16333,96
38,3863,17276,11714,16826,590
59,5946,15794,7738,15164,64
43,4556,17484,8911,16714,338
85,8520,13819,7416,13339,91
60,6246,16395,12588,15775,10685
97,9709,13832,6709,13322,77
66,6874,16968,16968,16668,16968
2,267,23878,12245,23168,157
25,2696,22048,22048,21748,22048
58,6097,18948,7654,18138,827
68,7082,18462,9281,17882,101
28,3050,22996,17260,21986,54
14,1562,25985,13602,25155,93
47,4926,23121,16561,22421,10002
42,4426,24621,18350,23561,37
23,2451,27096,24132,25886,12276
78,7943,22104,12779,20804,44
50,5086,25964,9738,25224,70
53,5357,26193,17495,25603,100
19,2033,30017,24038,29357,126
26,2643,29908,22448,28998,69
94,9580,23470,23469,22550,23470
10,1164,32388,24304,31328,57
6,649,33403,7990,32613,391
92,9464,25086,8505,24336,2978
69,7133,27918,13300,27208,5991
96,9825,26226,26226,25646,26226
16,1672,34881,34881,34381,34881
13,1314,35740,35740,35140,35740
67,6892,30660,24105,29860,17551
81,8284,29768,29768,28658,29768
98,9968,28584,22146,27374,2835
49,4929,34125,34125,33425,34125
