ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,104,122,112,22,122
1,103,273,162,113,21
2,246,156,156,146,156
3,305,598,598,98,598
5,559,464,464,344,464
4,584,740,740,440,740
7,749,957,768,577,605
6,837,1821,1479,871,919
9,1061,1638,1622,1598,1607
8,1089,2662,2311,1612,2110
10,1112,3080,2814,2640,2649
11,1289,3404,3404,2904,3404
13,1434,3379,3379,3259,3379
12,1473,3441,3441,3341,3441
14,1632,3452,3411,3282,3372
15,1650,3655,3604,3435,3535
16,1691,3956,3744,3616,3625
17,1756,4312,4188,3892,4011
18,1905,4254,4254,4164,4254
19,2148,4091,4091,4011,4091
20,2235,4055,4055,4005,4055
22,2301,4920,4503,3990,3999
23,2315,5278,5023,4908,4917
21,2341,5554,5496,5254,5452
25,2540,6015,5852,5355,5404
24,2672,5985,5979,5885,5974
26,2835,6222,6114,5822,5912
27,2885,7444,7062,6174,6473
28,2887,7642,7642,7442,7642
29,3027,8092,8034,7502,8001
30,3103,8507,8314,8017,8116
31,3346,8314,8314,8264,8314
32,3358,9663,9218,8303,8602
33,3504,9567,9567,9517,9567
34,3683,9399,9399,9389,9399
35,3715,9767,9647,9367,9487
37,3782,10211,10206,9701,10201
36,3869,10485,10447,10125,10424
39,3956,10568,10534,10398,10478
38,3972,11313,11219,10553,11053
41,4234,11353,11353,11053,11353
40,4270,11728,11475,11318,11328
42,4402,11626,11626,11596,11626
43,4476,11803,11742,11553,11652
44,4587,11903,11815,11693,11702
45,4647,12464,12283,11844,12043
48,4840,12321,12321,12271,12321
46,4860,12852,12581,12302,12311
49,4992,12750,12750,12720,12750
47,4999,13074,13058,12744,13043
50,5071,13212,13155,13002,13122
51,5340,13074,13034,12944,12994
52,5361,13353,13353,13053,13353
54,5530,13275,13244,13185,13214
53,5585,13620,13570,13220,13520
56,5671,13575,13559,13535,13545
55,5716,13941,13787,13531,13560
58,5901,14197,14076,13757,13956
57,5930,14188,14183,14168,14178
59,5958,14221,14216,14161,14211
60,6169,14430,14369,14010,14310
62,6202,14518,14517,14398,14518
61,6293,14627,14627,14427,14627
65,6554,15027,14695,14367,14416
63,6579,15303,15189,15003,15102
64,6688,16195,15718,15195,15394
66,6827,16306,16280,16056,16256
67,6965,16269,16222,16169,16178
69,6975,17090,16754,16260,16459
68,7015,17099,17099,17049,17099
70,7100,17295,17209,17015,17134
72,7210,17715,17700,17185,17685
71,7362,18104,17767,17564,17593
73,7489,18358,18171,17978,18057
74,7531,19227,19041,18317,18816
77,7779,19780,19464,18980,19059
75,7785,20375,20199,19775,19974
76,7851,20919,20685,20309,20319
78,8038,20783,20783,20733,20783
79,8146,20885,20825,20675,20765
80,8155,20886,20886,20876,20886
82,8225,21127,21033,20817,20936
83,8344,21209,21158,21009,21108
81,8355,21348,21318,21198,21288
85,8527,21507,21379,21177,21296
84,8650,21765,21724,21385,21684
86,8836,21820,21681,21580,21589
88,8855,22802,22229,21802,21881
87,8856,22942,22858,22802,22811
89,9145,23074,22865,22654,22663
91,9220,23190,23133,23000,23099
90,9291,24120,23869,23120,23619
92,9434,24769,24630,23979,24478
93,9449,24944,24864,24754,24784
94,9524,24910,24905,24870,24900
95,9636,24888,24888,24798,24888
96,9759,25086,24959,24766,24795
97,9819,25246,25196,25026,25146
98,9834,25372,25327,25232,25282
99,10004,25212,25212,25202,25212
100,10039,25588,25445,25178,25297
101,10233,25636,25512,25396,25428
102,10274,26576,26080,25596,25695
103,10305,26555,26555,26545,26555
105,10543,27088,26941,26318,26517
106,10611,27501,27310,27021,27100
104,10636,27576,27576,27476,27576
108,10872,28271,27815,27341,27460
107,10885,28559,28458,28259,28358
109,11181,28814,28464,28264,28273
110,11204,29352,29170,28792,28991
111,11261,29875,29531,29295,29345
112,11481,30156,30156,29656,30156
114,11522,30216,30216,30116,30216
113,11542,30696,30696,30196,30696
115,11624,30704,30704,30614,30704
116,11798,31290,30954,30530,30609
118,11842,31425,31374,31245,31334
117,11879,31687,31687,31387,31687
120,12105,31555,31555,31465,31555
119,12133,32178,32044,31528,31827
121,12216,32685,32376,32095,32175
123,12372,32809,32708,32529,32608
122,12456,33178,33045,32728,32815
125,12583,33702,33517,33052,33171
124,12680,34326,34120,33606,33905
126,12828,34688,34438,34178,34188
128,12885,35372,35075,34632,34931
129,12918,35439,35439,35339,35439
127,12962,35706,35700,35396,35695
130,13022,35956,35806,35646,35656
132,13290,36449,36248,35689,35988
131,13390,36560,36459,36350,36359
134,13455,36585,36545,36495,36505
133,13579,36771,36766,36461,36761
136,13642,37299,37125,36709,36788
135,13746,37808,37556,37198,37205
