ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
6,809,835,834,825,835
7,771,2516,1625,2266,750
8,995,2757,1582,2527,799
26,2777,2526,2501,2466,2476
2,207,5481,2767,5271,71
14,1510,4296,4296,4166,4296
31,3293,2674,2674,2664,2674
37,3830,3145,3145,3135,3145
17,1966,5089,5089,5009,5089
4,552,7349,7348,7049,7349
22,2304,5686,5686,5526,5686
47,4702,3528,3503,3428,3478
24,2572,6031,6031,5941,6031
25,2751,6255,3334,6095,2331
27,2819,6337,6337,6237,6337
29,3173,6265,6265,6165,6265
30,3198,6330,6305,6140,6280
35,3510,6410,6395,6250,6380
15,1783,8208,6600,7958,1777
10,1042,9230,9210,8700,9180
20,2069,8273,8273,8143,8273
43,4522,6271,4773,6161,3276
11,1222,10125,7999,9735,3749
13,1370,10279,10279,10079,10279
12,1381,10368,7240,10018,4113
33,3464,8410,8410,8290,8410
3,411,11714,11714,11354,11714
39,4132,8234,8234,8114,8234
21,2133,10284,6877,9944,5174
41,4300,8187,5990,7887,3188
42,4467,8090,8090,7970,8090
49,4978,7870,7865,7520,7850
34,3488,9864,9825,9354,9813
45,4617,9186,9186,8946,9186
16,1656,12599,7800,12089,1642
18,1917,12489,8941,12169,1845
19,2159,12498,12498,11998,12498
1,222,14935,10140,14245,580
36,3827,11382,8494,10862,2977
38,4013,11247,11247,10947,11247
0,197,15135,15066,13695,14834
44,4552,10857,10857,10557,10857
5,648,15415,14394,14605,12352
9,1196,15119,4908,14389,1103
23,2347,14269,11418,13649,8568
28,2975,13791,7527,13201,2529
32,3479,13338,8038,12788,2740
40,4039,12828,8002,12318,3177
46,4875,12041,9902,11381,3486
48,5055,11911,10054,11111,6342
