ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,128,740,645,10,509
0,141,921,862,741,830
4,416,1360,1029,650,768
2,474,1974,1890,1304,1803
3,486,2896,2560,1966,2262
5,568,3014,3014,2814,3014
6,696,3959,3473,2889,2986
7,972,4434,4146,3684,3803
8,1045,4502,4418,4362,4372
10,1122,4716,4616,4426,4516
9,1135,5115,4954,4705,4804
11,1176,5124,5124,5074,5124
13,1388,4992,4992,4912,4992
12,1450,5561,5507,4931,5431
14,1667,5875,5860,5345,5845
17,1700,6924,6609,5844,6343
16,1734,7190,7140,6890,7090
15,1737,7518,7408,7188,7308
18,1997,7489,7442,7259,7358
19,2164,7803,7602,7323,7402
21,2182,8335,8085,7785,7835
20,2232,8436,8410,8286,8385
22,2294,8974,8784,8374,8384
23,2426,9313,9156,8843,8943
24,2498,9332,9292,9242,9252
26,2749,9761,9674,9081,9581
25,2763,10178,10050,9748,9848
27,2964,10658,10567,9978,10477
28,3003,10940,10816,10620,10669
30,3071,11263,11083,10873,10952
29,3114,11780,11541,11220,11310
31,3276,12289,12064,11619,11629
33,3307,12979,12788,12259,12558
32,3329,13017,13012,12957,13007
34,3425,13081,13064,12921,13041
36,3631,12966,12966,12876,12966
35,3690,13338,13165,12908,12998
37,3931,13718,13491,13098,13127
39,3976,13934,13890,13674,13793
38,4049,14022,13981,13862,13942
40,4123,14369,14161,13949,13958
41,4186,14857,14533,14307,14396
42,4328,14946,14905,14716,14836
43,4338,15146,15141,14936,15136
45,4614,14970,14970,14870,14970
44,4670,15175,15074,14915,14924
46,4857,15709,15408,14989,15108
47,4891,15685,15685,15675,15685
49,4957,15810,15752,15620,15719
48,4984,16473,16106,15783,15873
50,5061,16747,16722,16397,16697
51,5108,16981,16873,16701,16750
52,5269,17070,16970,16820,16870
54,5494,17737,17494,16847,17046
53,5540,17991,17991,17691,17991
55,5614,18178,18097,17918,17997
56,5806,18166,18116,17986,18066
58,5832,18732,18569,18142,18261
57,5942,18982,18778,18622,18672
60,6001,19924,19557,18924,19123
59,6070,20116,20092,19856,20055
61,6124,20272,20172,20062,20072
62,6320,20276,20276,20076,20276
63,6486,20423,20272,20113,20121
65,6630,20800,20635,20280,20480
64,6683,21047,21047,20747,21047
66,6782,21629,21262,20949,21029
67,6997,22595,22259,21415,21914
69,7069,24375,23712,22525,23023
68,7089,24455,24424,24355,24405
70,7193,25373,24895,24353,24652
71,7258,25669,25451,25309,25318
72,7478,26199,25798,25449,25499
74,7483,26405,26360,26195,26315
75,7518,27020,26832,26370,26489
73,7558,27561,27311,26981,27061
76,7693,28456,28112,27426,27925
78,7816,28723,28678,28333,28633
77,7942,28728,28676,28598,28627
79,7982,29067,28933,28687,28717
81,8131,29279,29083,28919,28928
80,8189,29331,29291,29221,29251
83,8330,29602,29473,29192,29281
82,8362,29890,29840,29570,29770
85,8597,30376,30096,29656,29776
84,8672,30532,30461,30302,30401
86,8740,30955,30754,30465,30554
87,8783,31412,31412,30912,31412
88,8897,31989,31753,31299,31308
89,9052,32154,32104,31834,32034
91,9173,32164,32138,32034,32113
90,9175,32262,32257,32162,32252
92,9359,32639,32295,32079,32108
93,9370,33629,33236,32629,32638
95,9535,34186,33963,33466,33665
94,9540,34301,34301,34181,34301
96,9740,35312,34649,34102,34201
97,9938,35395,35288,35115,35194
98,9965,36189,35838,35369,35488
99,10016,36419,36375,36139,36338
100,10085,37142,36896,36352,36650
101,10156,37321,37246,37071,37151
103,10466,37412,37249,37012,37132
102,10476,37683,37596,37403,37453
104,10568,38382,38081,37592,37681
106,10746,39025,38665,38205,38324
105,10751,39461,39226,39021,39140
107,10802,39619,39574,39409,39529
108,10875,39707,39639,39547,39556
109,11008,39774,39774,39574,39774
110,11105,40028,39891,39678,39777
111,11240,40524,40196,39894,40013
112,11350,40424,40424,40414,40424
113,11401,40724,40586,40374,40493
114,11456,41210,41081,40670,40789
115,11682,40994,40994,40984,40994
117,11797,41950,41411,40880,40979
116,11892,42166,42096,41856,42056
118,11952,42307,42266,42107,42226
119,11969,42490,42490,42290,42490
120,12024,43046,42859,42436,42735
122,12289,43212,42987,42782,42791
123,12356,43416,43318,43146,43225
121,12358,43914,43914,43414,43914
125,12513,44060,43959,43760,43849
