ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
5,675,230,230,30,230
11,1249,19,19,9,19
9,1196,263,262,43,263
10,1228,523,523,423,523
20,2216,161,161,81,161
24,2604,65,65,55,65
23,2584,287,287,197,287
33,3316,80,79,70,80
32,3409,501,374,331,249
35,3649,350,350,260,350
38,4048,58,57,28,58
42,4267,47,47,37,47
26,2794,1692,1370,1372,88
44,4484,284,143,144,73
43,4397,753,752,643,753
49,5066,114,114,84,114
54,5632,11,11,1,11
55,5620,174,96,14,13
50,5281,603,603,503,603
60,6084,253,253,73,253
59,6100,427,427,187,427
73,7351,81,81,31,81
76,7879,136,115,96,95
81,8101,105,105,75,105
82,8347,139,139,49,139
85,8555,172,118,32,92
83,8523,294,294,204,294
88,8882,56,56,46,56
89,8917,182,88,32,31
79,8108,1172,1172,882,1171
86,8866,896,479,786,62
97,9828,145,144,95,145
96,9846,709,297,489,77
62,6479,4608,2210,4268,59
66,6665,4782,4782,4582,4782
67,6820,4747,4747,4537,4747
63,6583,5225,5225,5105,5225
58,5941,5987,4265,5647,64
41,4379,8272,6797,7832,902
40,4215,8797,4455,8607,80
95,9528,3843,1938,3713,33
52,5441,8652,8652,8442,8652
7,761,13453,13453,13093,13453
2,257,14558,14558,14238,14558
93,9306,5708,5708,5508,5708
6,755,14460,14460,14260,14460
94,9674,5741,2239,5311,1072
45,4736,10880,10382,10340,8396
39,3971,11845,11844,11455,11845
30,3014,13203,4838,12713,372
1,229,16188,5494,15808,112
4,531,16687,16553,16257,16286
77,7916,9501,9501,8841,9501
80,8123,9495,9495,9285,9495
18,1915,15904,4095,15634,159
87,8942,9076,6059,8786,27
91,9253,8966,3117,8626,107
98,9819,8601,2213,8051,335
47,4835,13985,7024,13775,63
51,5258,13962,5668,13612,32
57,5861,13760,13760,13450,13760
90,9257,10664,6413,10254,33
48,4917,15604,9636,14994,3669
84,8634,12188,12188,11688,12188
22,2343,18780,17939,18060,16678
8,810,20614,16528,20014,186
61,6307,15416,15416,15106,15416
34,3455,18869,14159,18349,32
0,198,22703,5835,22263,28
13,1504,21721,14499,21291,56
64,6546,17579,9047,17109,4781
37,3975,20751,20751,20391,20751
92,9492,15534,5729,14974,3278
19,2047,23280,23279,22700,23280
72,7333,18593,15123,17973,4716
75,7755,18472,18472,17872,18472
17,1889,24939,24939,24639,24939
31,3354,23774,23773,23224,23774
46,4838,22589,15380,22119,121
56,5756,21971,21971,21671,21971
71,7333,20895,19493,19675,15290
25,2641,26088,9142,25398,38
16,1828,27401,18247,26551,12146
70,7024,22704,14444,21724,16
14,1444,28786,14496,28196,207
78,8038,22691,22691,22191,22691
29,3191,28539,19006,27659,114
21,2253,29978,20056,29388,215
68,7034,25696,20682,24996,629
12,1204,32027,19980,31117,13
69,7112,26619,5616,25829,270
28,2932,32300,32049,31240,31800
65,6526,29206,29206,28046,29206
27,2723,33510,33510,32970,33510
36,3609,33124,13320,32254,120
99,10131,27101,7069,26371,333
15,1766,35968,21669,35218,187
74,7464,30769,26086,29719,19063
3,563,38171,22198,36861,14052
53,5318,33916,9640,33226,214
