ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,45,560,328,10,58
1,285,848,843,338,838
3,303,1231,1096,831,930
2,408,1247,1246,1127,1247
5,547,1909,1658,1109,1408
4,630,2337,2086,1827,1836
6,665,2852,2827,2302,2802
8,832,3526,3300,2686,2985
7,954,3415,3414,3405,3415
9,1093,4478,3831,3278,3397
10,1100,4481,4480,4471,4481
13,1313,4468,4468,4268,4468
12,1351,4670,4610,4430,4550
11,1359,5324,4935,4664,4783
14,1539,5396,5275,5146,5224
15,1661,6055,5572,5275,5324
16,1743,6986,6383,5976,6075
17,1790,7320,7249,6940,7139
18,1890,8042,7851,7222,7420
19,2062,8731,8318,7871,7900
20,2233,9361,9060,8561,8610
21,2311,9403,9403,9283,9403
23,2399,9815,9815,9315,9815
22,2475,9790,9790,9740,9790
24,2604,10332,10269,9662,10161
26,2652,10955,10728,10285,10364
25,2671,11257,11156,10937,11056
28,2903,11926,11747,11026,11325
27,2931,12839,12502,11899,11908
29,3087,12883,12883,12683,12883
30,3202,12968,12928,12768,12888
31,3361,13310,13310,12810,13310
32,3428,13293,13293,13243,13293
33,3466,14186,13830,13256,13375
35,3513,15060,14879,14140,14639
34,3537,15236,15176,15036,15116
37,3858,15916,15665,14916,15415
36,3897,16177,16140,15877,16077
38,3990,16095,16095,16085,16095
40,4069,16056,16051,16016,16046
39,4122,16614,16361,16004,16203
41,4166,17161,16910,16571,16660
42,4426,17081,17034,16901,16951
44,4520,17788,17638,16988,17488
43,4570,17839,17828,17739,17818
45,4697,18042,18027,17712,18012
46,4737,18052,18052,18002,18052
48,4822,18633,18428,17963,18263
47,4922,18861,18723,18541,18628
50,5002,18891,18886,18781,18881
49,5198,18725,18725,18695,18725
52,5207,18747,18747,18717,18747
51,5354,18700,18642,18600,18610
53,5589,19217,18880,18467,18586
54,5667,19239,19194,19139,19149
55,5792,19375,19237,19115,19164
57,5854,19323,19323,19313,19323
56,5891,19386,19385,19286,19386
58,6034,19274,19274,19244,19274
59,6096,19952,19831,19212,19712
60,6138,20921,20419,19911,19920
61,6303,21317,21279,20757,21256
62,6311,22290,21856,21310,21359
63,6351,22260,22260,22250,22260
64,6473,22637,22637,22137,22637
65,6523,23509,22907,22589,22618
66,6658,24114,23726,23374,23573
67,6885,24358,24083,23888,23917
69,6926,25259,24754,24319,24518
70,7020,25966,25539,25166,25195
68,7027,26049,26049,25959,26049
73,7341,26029,25907,25739,25745
71,7380,27361,26946,25991,26490
74,7452,27319,27319,27289,27319
72,7480,27681,27624,27291,27591
76,7725,27657,27647,27437,27637
75,7785,28428,27952,27598,27627
77,7870,28604,28503,28344,28423
78,7915,29330,29199,28700,29069
79,7915,29380,29087,29190,28569
80,8238,29388,29372,29058,29357
81,8287,29769,29631,29339,29369
82,8334,30253,30000,29723,29843
83,8364,30314,30314,30224,30314
85,8502,30226,30226,30176,30226
84,8609,30600,30377,30120,30169
86,8688,30571,30571,30521,30571
87,8724,31426,31198,30536,30835
88,8927,31473,31448,31223,31423
89,9036,31545,31507,31365,31444
90,9146,32336,32189,31436,31735
92,9272,32691,32570,32211,32410
91,9380,32953,32789,32583,32663
93,9383,33461,33455,32951,33450
94,9543,33621,33514,33301,33311
95,9659,34126,33886,33506,33706
96,9785,34290,34245,34000,34200
97,9914,34872,34560,34162,34212
98,9961,35056,34956,34826,34856
99,10036,35031,35031,34981,35031
