ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,335,1083,910,783,845
0,202,2291,2277,1991,2291
9,1009,3854,3810,3584,3773
12,1266,4122,2217,4022,1260
8,898,6591,5318,6331,2777
17,1921,6513,5323,6273,2077
4,416,9647,9647,9427,9647
26,2724,8656,6708,8546,2815
27,2819,9395,7159,9165,2930
59,5993,6352,6352,6322,6352
5,593,11994,7248,11554,4816
31,3149,10321,6837,10211,3354
32,3414,10890,10704,10580,10629
67,6999,7366,7341,7306,7316
15,1756,13132,9999,12732,5199
36,3729,11601,11601,11511,11601
76,7796,7996,7996,7986,7996
86,8661,8620,8620,8570,8620
88,9023,8650,8650,8620,8650
45,4525,14434,14185,14224,14102
46,4623,14668,14584,14478,14417
97,9980,9824,9824,9814,9824
47,4973,15163,15163,14933,15163
10,1071,19527,19527,19297,19527
25,2678,18140,18140,17970,18140
57,5709,15536,10849,15426,6163
62,6237,15460,15460,15350,15460
64,6611,15790,11355,15700,6920
65,6745,15736,11341,15646,6947
35,3574,19941,7030,19681,3753
78,7849,15957,15957,15857,15957
16,1860,22291,22291,22041,22291
81,8271,16130,16130,16010,16130
84,8555,16078,16067,15868,16047
19,1989,23016,14770,22736,6526
89,9070,16075,16075,15975,16075
95,9621,16639,16618,16459,16598
44,4663,21667,18192,21457,14718
50,5258,21765,21765,21565,21765
52,5454,21690,16099,21450,5724
54,5626,21538,19961,21218,15232
28,2888,24668,23158,24248,18629
61,6343,21484,20054,21164,15767
29,3141,24786,24786,24456,24786
6,859,27169,22370,26659,12773
68,6911,21227,14222,20907,7202
71,7114,21165,19386,20865,15829
74,7694,20977,15224,20667,7897
38,3807,24965,19701,24525,4013
83,8571,20763,16654,20513,8459
85,8576,20779,20779,20659,20779
7,994,28613,28612,28193,28613
93,9484,20614,17562,20374,16545
53,5362,25460,25460,25080,25460
55,5633,25240,22769,24850,15356
56,5686,25287,18883,25047,6076
14,1575,29901,29900,29471,29901
70,7128,24598,24598,24378,24598
73,7397,24429,21897,23939,21053
98,9848,23484,17924,23024,9634
24,2422,31213,20645,30673,2552
39,4025,30813,30813,30313,30813
43,4323,31017,31017,30397,31017
42,4416,31025,15272,30645,4761
49,5182,30911,30911,30361,30911
58,5823,30471,30471,29721,30471
2,339,36309,17451,35449,2692
69,7059,29688,25419,29268,21150
75,7602,29396,17725,29006,7788
77,7944,29104,20370,28704,16003
79,8078,29070,22058,28750,8036
82,8280,29019,18699,28709,8379
3,346,37054,19238,36274,1273
91,9168,28382,28382,27872,28382
96,9612,28339,14174,27989,9438
99,10024,28078,21216,27428,9870
13,1359,38300,38300,37680,38300
11,1366,38343,38342,37423,38343
18,1856,38355,13073,37645,1880
20,2104,38509,35424,36959,23143
21,2118,38645,38644,37805,38645
23,2404,38460,38459,37960,38460
22,2423,38491,30871,37741,8012
30,3013,38050,38050,37550,38050
33,3477,37787,27605,36897,10918
34,3507,37807,15045,37287,3659
37,3782,37632,37632,36882,37632
40,4134,37381,26303,36791,4149
41,4295,37270,37270,36040,37270
48,4894,36972,36972,36262,36972
51,5296,36622,36622,36092,36622
60,6246,35722,23351,34782,6470
63,6306,35762,31702,34582,15612
66,6775,35343,25797,34493,15756
72,7437,34731,23270,34041,7662
80,8223,33995,32991,33015,28975
87,8811,33458,21054,32928,8651
90,9270,33099,25709,31869,8845
92,9376,33043,30734,32133,28425
94,9410,33059,26430,32369,16488
