ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
5,754,1019,981,909,938
9,942,972,957,932,942
16,1665,2043,2043,2033,2043
8,1073,3209,3158,2929,3088
27,2929,2943,2927,2863,2912
36,3800,4163,4163,4153,4163
17,1843,6170,6170,6070,6170
18,1896,6349,6303,5989,6259
41,4258,4439,4423,4399,4409
57,5776,6447,6447,6397,6447
60,6061,6665,6660,6625,6655
62,6463,6856,6841,6776,6826
14,1632,13121,11141,12711,5204
35,3787,12804,12670,12504,12553
38,3865,12937,12917,12747,12897
39,4084,13231,12942,13001,12799
20,2069,15437,15437,15317,15437
40,4240,13436,11141,13206,4286
0,172,19113,5441,18703,884
45,4691,15177,15068,14917,14895
24,2407,17481,9926,17271,2357
98,9819,10370,10370,10360,10370
46,4881,15408,15408,15308,15408
109,10933,11628,11613,11588,11598
113,11421,12205,12205,12195,12205
56,5621,18738,18738,18568,18738
54,5623,19087,19002,18917,18917
119,12118,12643,12619,12593,12603
28,2832,21950,12379,21820,2809
121,12189,12692,12692,12642,12692
124,12552,13244,13218,13184,13194
125,12633,13303,13272,13213,13242
133,13454,14079,14079,14069,14079
65,6564,21161,21161,21081,21161
64,6678,21238,14083,21118,6928
140,14156,14704,14704,14694,14704
67,6881,22020,21995,21780,21970
143,14493,14900,14862,14830,14839
148,14856,15280,15280,15250,15280
152,15274,15496,15490,15476,15485
74,7648,23605,23605,23405,23605
2,415,31755,31755,31255,31755
81,8277,25088,25088,24998,25088
166,16852,16522,16522,16512,16522
171,17305,16973,16973,16963,16973
4,421,34150,12056,33760,494
174,17684,17287,17262,17187,17237
85,8778,26345,26345,26265,26345
178,17957,17395,17358,17265,17315
19,2168,33367,26690,32777,6710
186,18640,18220,18149,18080,18089
93,9320,28103,28103,28023,28103
92,9337,28247,18936,28137,9625
191,19255,18820,18820,18810,18820
94,9506,28882,24957,28572,9789
197,19755,19205,19205,19195,19205
47,4875,34659,22366,34389,4846
105,10736,30084,30027,29714,29953
106,10763,30097,30097,30007,30097
51,5178,35793,35543,35363,35481
112,11282,30191,30154,29921,30120
52,5443,36240,16592,35920,5736
55,5562,36292,36292,35932,36292
120,12242,30365,30324,30035,30284
6,655,42003,25473,41553,663
59,5938,37211,28504,36951,19798
128,12881,30702,30702,30602,30702
131,13290,30896,22338,30686,13792
63,6525,37682,22245,37532,6804
138,14013,31177,22883,31007,14565
141,14191,31129,31129,31049,31129
146,14607,31165,31165,31065,31165
158,15844,31274,31259,31114,31244
75,7696,39493,31667,39193,8191
170,17266,31719,21864,31539,16922
86,8626,40864,24982,40694,9100
87,8862,40749,25722,40509,9095
182,18354,31768,31768,31668,31768
184,18633,31881,31881,31791,31881
43,4476,46542,31612,46132,14175
188,19015,32122,32122,31962,32122
196,19722,32167,32167,32087,32167
97,9940,42436,37311,42166,29625
48,4987,47539,47539,47289,47539
102,10294,42423,42423,42163,42423
50,5086,47731,47711,47101,47681
103,10591,42246,33946,42036,29797
107,10809,42249,42249,41979,42249
53,5577,48405,48405,48115,48405
126,12667,41927,34777,41647,13330
137,13799,41901,41901,41651,41901
69,6946,49257,49257,49047,49257
149,15055,41639,41639,41449,41639
150,15239,41575,28492,41445,15410
160,16289,41199,34527,40929,31191
163,16435,41274,24241,41044,16175
79,7912,49849,44910,49529,39971
164,16650,41230,32954,40980,16402
167,16806,41165,34965,40905,16407
80,8299,49823,23538,49453,8633
84,8443,50071,50071,49761,50071
88,9023,50254,50154,49484,50104
189,18962,40997,40997,40777,40997
91,9351,50660,48889,50240,41807
194,19546,40855,40855,40615,40855
95,9569,50954,37966,50474,29251
22,2432,58343,39723,58003,2484
25,2564,58763,30733,58453,2704
1,108,61551,49728,60401,2509
123,12386,50098,50097,49508,50098
132,13485,49851,45912,49441,41973
139,14027,49610,49610,49390,49610
34,3461,60630,39302,60200,3566
145,14733,49406,44869,49036,31260
151,15167,49173,45580,48843,31208
153,15321,49169,49169,48969,49169
33,3595,60947,31153,60367,11208
154,15480,49111,49111,48901,49111
159,16186,48806,48806,48516,48806
161,16326,48766,48766,48536,48766
173,17349,48446,48446,48096,48446
175,17756,48240,48240,48040,48240
177,17889,48157,48157,47957,48157
42,4291,61807,41136,61357,30802
181,18346,47951,38649,47571,17720
44,4459,62140,62090,61240,62040
49,5050,62453,62453,61933,62453
58,5886,62571,62570,62151,62570
66,6707,62754,62754,61954,62754
70,7093,62769,62769,62329,62769
71,7369,62693,62680,61923,62643
72,7382,62781,46869,61901,23026
73,7509,62704,50946,62104,39188
78,7855,62860,62860,62560,62860
77,7975,62890,35780,62520,8665
89,9025,62593,62593,62293,62593
100,10053,62267,45964,61807,29662
99,10151,62220,32405,61690,10632
3,526,72046,36979,71466,1912
108,10977,61645,51653,61045,11685
111,11317,61505,61485,60605,61455
114,11481,61442,61442,61142,61442
116,11887,61286,53892,60736,50195
118,12021,61203,50923,60773,30365
127,12847,60777,60777,60267,60777
134,13403,60672,51261,59622,13869
135,13544,60632,60615,59912,60581
142,14203,60223,48844,59603,14757
144,14644,59933,59933,59453,59933
7,726,73953,49446,72903,835
156,15778,59050,45139,58670,31229
168,16932,58350,41582,57650,16452
185,18676,57158,54861,56528,47972
187,18799,57085,46381,56545,41020
193,19436,56699,56659,55809,56649
192,19448,56738,56738,56168,56738
11,1142,75096,75095,74266,75096
195,19761,56525,48593,56105,40661
198,19962,56374,46701,55804,32178
199,20164,56273,37786,55963,19299
10,1211,75428,48555,74728,21683
13,1360,75530,30154,74820,4220
