ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
4,578,206,206,76,206
3,330,575,400,435,51
6,878,444,444,324,444
8,1088,435,435,175,435
16,1813,13,13,3,13
22,2278,103,57,3,12
21,2357,265,265,35,265
36,3842,187,102,67,46
39,4185,34,34,4,34
46,4891,363,363,273,363
50,5165,260,195,150,130
40,4262,1474,1474,1384,1474
54,5693,124,124,94,124
59,6198,71,71,21,71
62,6227,193,193,43,193
63,6400,110,110,20,110
70,7066,240,142,70,29
71,7365,42,42,32,41
73,7442,75,75,65,75
57,5827,1890,1015,1740,141
52,5445,2453,1500,2053,472
81,8277,103,103,93,103
80,8009,471,290,361,110
41,4342,4369,4369,4269,4369
88,8926,76,76,46,76
92,9356,38,38,28,38
95,9690,115,115,85,115
96,9630,265,265,125,265
99,10060,408,408,318,408
103,10396,604,358,484,112
108,11059,202,124,32,61
107,10796,565,565,465,565
112,11388,214,214,114,214
117,11806,133,133,83,133
122,12354,339,271,199,67
126,12619,344,344,204,344
129,12955,49,34,9,19
128,13011,154,154,104,154
130,13093,122,122,62,122
114,11619,1797,715,1607,174
135,13762,135,135,35,135
136,13809,309,269,149,229
140,14086,42,42,32,42
18,2093,12348,12348,12238,12348
144,14577,93,93,83,93
145,14598,122,108,72,82
42,4256,10817,2917,10527,104
152,15399,74,69,54,64
154,15556,37,37,7,37
150,15268,446,446,356,446
149,15073,912,545,612,140
158,15918,97,97,67,97
85,8664,7653,5335,7343,57
168,16891,138,138,98,138
167,16764,757,267,587,94
172,17465,226,226,136,226
180,18066,238,194,58,107
184,18672,94,94,84,94
190,19069,59,59,9,59
185,18752,506,265,406,24
176,17638,2675,2675,2575,2675
175,17706,2707,1446,2447,186
194,19648,1065,1065,955,1065
134,13636,7319,7318,7119,7319
109,10980,10335,5222,10125,110
12,1465,20333,20332,20003,20333
14,1604,20795,16661,20435,131
33,3348,19171,12845,18861,195
60,6098,16541,8331,16391,121
67,6881,16239,16239,16119,16239
137,13900,9339,9339,9219,9339
127,12781,11179,5635,10979,92
104,10597,13604,13604,13484,13604
25,2696,21747,21747,21507,21747
55,5655,19388,9760,19238,132
31,3132,22033,7434,21823,135
58,5880,19404,19404,19284,19404
166,16893,8509,8509,8349,8509
82,8441,17203,8636,17053,69
74,7676,18089,9105,17889,122
177,17735,8148,6562,7868,218
181,18282,7841,4960,7501,32
89,9090,17396,13973,17076,284
19,2010,25078,14228,24748,118
34,3475,23973,5908,23553,131
197,19901,7785,5202,7465,161
142,14220,13587,13587,13467,13587
100,10204,17964,9068,17744,173
75,7513,20776,20776,20656,20776
111,11303,18186,13656,17826,68
121,12103,18387,18287,17987,18187
119,12138,18553,12382,18253,42
160,16266,14624,7362,14374,100
156,15781,15509,15509,15109,15509
196,19761,12130,12129,11920,12130
28,2815,29480,17735,29070,79
26,2781,29715,29715,29465,29715
147,14803,18091,13683,17771,9278
171,17209,15884,11943,15484,121
35,3740,29957,23972,29437,37
29,3131,30966,30966,30766,30966
178,17864,16631,16631,16421,16631
97,9849,25047,8417,24747,57
78,8018,27080,13614,26830,151
87,8915,26583,13374,26173,167
193,19502,16394,3579,15934,309
195,19604,16492,6416,16082,55
2,370,36130,36130,35820,36130
90,9143,27556,18387,27256,50
98,9926,26972,13588,26502,160
102,10446,26853,13658,26523,463
77,7843,29657,15042,29357,427
105,10541,27359,21906,26859,98
141,14130,23972,23971,23762,23972
191,19104,19297,14488,18837,64
76,7830,31173,27768,30663,26066
113,11519,27783,27783,27193,27783
115,11605,27997,27997,27497,27997
30,3126,37079,37079,36469,37079
118,11846,28657,19524,28137,1258
47,4966,35838,11302,35268,680
0,170,40920,30709,40400,136
5,693,41613,41613,41193,41613
192,19231,23672,11890,23092,108
133,13406,30099,29738,29249,28298
66,6634,37773,11266,37143,130
162,16496,28509,28509,28209,28509
