ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
2,373,142,142,62,142
5,632,74,59,34,44
4,549,338,338,238,338
7,827,364,175,244,71
11,1163,209,209,29,209
8,857,1170,839,840,51
18,2010,58,42,18,27
20,2182,16,16,6,16
22,2470,219,181,59,68
9,1091,2715,2715,2595,2715
37,3856,52,52,22,52
44,4471,293,164,173,30
48,4994,11,10,1,11
47,4714,532,412,182,60
51,5259,98,64,18,27
49,5150,297,297,207,297
53,5412,75,75,45,75
55,5797,152,152,72,152
58,6021,69,69,19,69
52,5407,1055,1055,845,1055
69,7175,381,381,271,381
71,7188,649,395,379,268
72,7498,440,440,340,440
78,8018,120,95,40,70
80,8105,44,44,34,44
83,8363,67,67,17,67
91,9226,591,591,431,591
97,9827,211,211,71,211
95,9783,345,229,175,114
102,10207,181,181,91,181
88,8899,1590,1590,1490,1590
104,10608,42,42,2,41
110,11234,29,29,19,29
113,11388,86,71,26,56
107,10881,693,693,493,693
77,7887,3909,3909,3789,3909
116,11765,220,220,30,220
118,11977,180,180,90,180
119,11994,684,684,524,684
124,12577,292,241,102,191
125,12792,167,167,77,167
142,14492,185,185,105,185
148,14882,87,87,77,87
144,14534,827,827,727,827
141,14237,1324,1324,1224,1324
153,15575,267,183,97,97
151,15114,829,829,729,829
158,15950,1008,1008,798,1008
171,17198,80,80,50,80
174,17416,153,123,53,63
166,16836,1076,545,856,11
178,17867,92,92,42,92
170,17016,1145,1145,1005,1145
183,18340,223,166,123,53
187,18849,327,206,237,86
184,18535,731,731,531,731
188,18961,918,709,708,85
196,19784,205,205,115,205
198,20010,301,283,91,211
197,19810,801,801,701,801
120,12234,8699,8699,8579,8699
130,13266,7787,7787,7577,7787
131,13105,8309,4362,8099,416
140,14275,7860,4080,7560,301
27,2723,20015,6306,19735,1737
163,16459,6758,6757,6608,6758
167,16987,6350,6349,6050,6350
176,17606,5971,5971,5761,5971
165,16600,7579,5721,7349,147
38,4015,20286,4208,19936,54
82,8362,16058,16058,15848,16058
29,3133,21649,21649,21529,21649
57,5702,20481,10324,20201,167
117,11956,14627,14627,14187,14627
54,5481,21303,21302,20993,21303
111,11195,15788,15788,15588,15788
121,12280,14903,14903,14583,14903
123,12418,14966,14966,14766,14966
30,3082,24504,22073,24084,20858
138,13835,13949,13949,13729,13949
128,13084,15101,15101,14821,15101
62,6263,22926,5795,22676,58
135,13554,16034,16034,15594,16034
1,264,29527,7509,29167,170
75,7548,22442,7576,22072,99
152,15425,14764,14764,14564,14764
34,3432,27159,27159,26759,27159
156,15752,15038,15038,14838,15038
70,7118,24073,24073,23823,24073
84,8413,22979,10123,22639,27
10,1221,30372,30372,30172,30372
96,9831,21961,21961,21761,21961
90,9283,22709,15277,22179,434
157,15948,16244,16244,16014,16244
24,2609,29785,20619,29265,253
33,3449,29347,26956,28997,22174
164,16533,16661,4955,16321,103
13,1395,32002,16065,31772,128
173,17528,16066,16066,15856,16066
182,18320,16475,8243,16265,12
192,19282,16114,16114,15724,16114
194,19516,16080,16080,15880,16080
94,9492,26507,13321,26257,135
105,10674,25525,12800,25275,77
103,10547,25851,15623,25501,283
109,10997,25601,25601,25311,25601
108,11068,25931,25931,25441,25931
12,1382,36820,36820,36080,36820
73,7497,31604,31604,31304,31604
162,16348,23353,4890,22873,47
3,566,39437,13293,39007,221
106,10887,29716,29714,29206,29715
99,10149,30754,30754,30354,30754
56,5739,36365,24343,35885,301
129,12909,29494,19776,29064,341
149,14987,27716,10225,27046,163
31,3212,39793,36139,39123,25179
65,6539,37366,28080,36876,225
68,7011,37194,37194,36864,37194
92,9301,35204,11824,34744,95
190,19278,25525,9244,24945,209
139,14165,31840,25500,31360,140
66,6782,39825,29414,39235,24209
145,14753,32153,28023,31563,15636
150,15194,32913,32913,32343,32913
155,15604,32803,23885,32373,6050
137,13986,34721,34000,33941,31118
45,4654,44355,32721,43935,21090
191,19219,30087,23032,29457,15977
185,18714,30893,24927,30123,1064
177,17778,32729,32729,32229,32729
19,2153,48657,48657,48307,48657
16,1696,49715,31681,48875,79
86,8852,42858,20122,42058,101
180,18271,33737,22562,33267,212
127,12812,39497,26424,39027,278
26,2721,50191,27348,49771,4505
28,2898,50314,37756,49484,84
168,16904,36606,12755,35926,6793
0,91,54297,40724,53757,66
50,5227,49486,16812,48666,372
100,10072,44940,44940,44640,44940
122,12470,42842,42842,42342,42842
14,1681,53933,53933,53623,53933
39,3937,52277,28976,51757,81
35,3695,53019,35450,52409,313
154,15482,41731,14197,40891,6413
193,19557,38655,38655,38115,38655
179,18130,40582,26253,39632,2582
112,11208,48005,14545,47305,105
181,18295,41918,31445,41258,27
147,14947,46267,37034,45137,103
74,7461,54254,27180,53744,106
101,10123,52092,17480,51422,176
76,7712,55004,55004,54504,55004
6,812,62405,31341,61815,278
15,1521,62196,32181,61096,667
115,11642,53074,34769,51454,9892
98,9848,55369,55369,54769,55369
36,3700,62018,20774,61458,127
136,13731,52485,18340,51795,223
133,13509,53707,53707,53057,53707
143,14514,53203,53203,52503,53203
172,17250,50966,25502,50456,38
23,2455,66763,66761,65643,66763
169,17095,52621,28806,51831,16899
21,2270,67950,40843,67300,110
160,16072,54646,54646,54086,54646
63,6440,64779,24131,63979,133
43,4411,67309,27676,66589,251
41,4118,68103,49040,66903,29679
17,1727,70994,51183,70064,44580
40,4119,69102,69101,68402,69102
132,13414,60305,34000,59295,17
85,8517,65703,31016,64703,106
81,8107,67114,33618,66534,122
146,14761,60959,49738,59729,7855
126,12826,63394,41449,62514,30477
87,8959,68263,54653,66903,216
79,8195,69527,51475,68477,24398
114,11405,66816,66816,66316,66816
59,6139,72583,72583,71753,72583
93,9469,69754,57198,68854,44643
89,8993,70730,14355,70080,262
60,6179,74044,37470,73424,896
199,19942,60779,20716,59869,58
189,18917,62305,31186,61755,68
186,18722,63501,38615,62201,1789
175,17661,65062,33003,64222,59
67,6780,76445,26870,75705,2083
46,4712,79013,54251,77613,35590
134,13458,70767,66890,69727,55259
195,19796,64928,51961,63408,93
159,16066,69160,44020,68340,6310
161,16160,69567,31651,68617,54
42,4375,81854,81853,80974,81854
64,6415,80314,48368,79174,449
61,6378,80851,45951,79721,37226
25,2616,85114,51295,84074,567
32,3425,84805,84805,84305,84805
