ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,108,271,254,131,271
0,177,434,312,284,70
5,730,458,441,418,426
2,203,2094,1723,1744,246
6,889,1539,1538,1459,1539
11,1383,3460,3459,3370,3460
26,2730,2595,2595,2545,2595
8,939,4609,4608,4239,4609
33,3573,3391,3381,3361,3371
35,3599,3426,3420,3366,3415
36,3616,3492,3475,3412,3459
37,3818,3489,3489,3439,3489
19,2035,5754,4490,5544,2013
10,1187,6803,6803,6633,6803
43,4334,4007,4007,3957,4007
44,4683,4091,4091,4041,4091
28,2981,7344,7344,7224,7344
29,3062,7414,6241,7154,2777
32,3232,7304,7284,7094,7274
31,3316,7471,7471,7391,7471
38,3872,7438,7421,7228,7387
41,4308,7574,7574,7494,7574
46,4612,7541,7526,7371,7511
3,314,12191,9339,11461,1731
24,2685,10503,10503,10333,10503
27,2971,10439,8839,10219,7239
16,1814,12047,12047,11747,12047
39,3909,10073,10073,9853,10073
23,2469,12386,12386,12186,12386
49,5140,9987,9987,9757,9987
12,1459,15327,15326,14837,15327
15,1725,15262,14119,14672,11836
20,2150,15439,12345,14559,6322
22,2226,15413,15413,15113,15413
47,4847,13997,13987,13147,13947
4,522,18925,7208,18135,4281
9,922,18927,18926,18347,18927
7,939,19211,15820,18411,2264
14,1421,19084,15224,18204,11367
13,1571,19084,16490,18314,8715
17,1801,19004,14117,18134,1615
18,1943,18912,13245,18262,1913
21,2149,18857,14680,17957,2150
25,2786,18421,14451,17521,12441
30,3251,18006,12665,17326,7325
34,3433,17873,16033,16783,14807
42,4228,17129,13877,16509,7373
40,4279,17128,17128,16078,17128
45,4724,16784,14913,15454,7579
48,5034,16524,15217,15424,13910
