ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,125,61,51,11,61
2,221,11,11,1,11
1,227,606,439,6,106
8,1064,355,289,155,93
15,1603,37,37,27,37
16,1841,61,61,11,61
13,1573,621,452,321,199
21,2299,359,268,119,177
20,2295,715,715,615,715
4,627,2595,2595,2495,2595
31,3187,56,50,36,45
32,3234,89,89,39,89
29,3177,237,166,117,96
6,737,2776,925,2516,105
12,1207,2408,890,2218,132
40,4115,25,25,15,25
35,3624,706,631,386,606
47,4868,45,45,35,45
24,2445,2568,1310,2458,52
3,389,5268,5267,4978,5268
43,4426,1831,1252,1501,95
9,970,5529,2772,5399,16
46,4622,1996,1087,1786,180
10,1176,5683,3812,5463,72
26,2612,4849,1734,4549,56
39,4095,3566,1606,3036,808
45,4578,4286,4286,4086,4286
44,4463,4601,4600,4091,4601
48,5079,4386,1589,4006,146
7,839,8826,8826,8446,8826
17,1844,8622,8622,8322,8622
27,2756,8311,8311,8011,8311
14,1498,9870,9870,9570,9870
34,3657,8011,6038,7551,120
28,2941,9027,9026,8417,9027
37,3920,8349,8349,7949,8349
38,3938,8631,8631,8171,8631
18,1904,10966,2943,10466,199
25,2737,10433,6972,10073,52
11,1376,12094,12094,11644,12094
30,3138,10632,10632,10232,10632
41,4381,10390,6985,9290,3480
49,4914,10857,10856,10217,10857
23,2405,13866,8440,13086,173
42,4453,12319,8264,11619,4210
33,3516,13756,13755,12456,13756
19,2180,15592,10338,14562,8587
22,2444,15828,15828,15118,15828
5,663,18111,15082,16781,9504
36,3724,15549,9765,14859,12
