ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,131,521,408,21,322
1,317,1077,971,367,865
2,396,1440,1257,1000,1098
3,409,1528,1483,1428,1438
4,594,1434,1393,1344,1353
5,597,2013,1888,1433,1731
6,705,2796,2635,1906,2405
7,751,2961,2927,2751,2870
8,1013,3120,3059,2700,2999
9,1085,3309,3196,3049,3058
11,1123,3753,3632,3273,3472
10,1235,4112,3907,3642,3651
12,1271,4107,4107,4077,4107
13,1333,4636,4503,4046,4345
15,1532,4859,4775,4439,4738
14,1589,4983,4937,4803,4892
16,1857,4765,4765,4715,4765
18,1931,5403,5115,4693,4701
17,1950,5584,5584,5384,5584
19,2178,5446,5446,5356,5446
21,2191,5634,5634,5434,5634
20,2215,6120,6046,5610,5910
22,2252,6384,6261,6084,6184
24,2505,6532,6362,6132,6142
23,2547,6871,6704,6491,6571
25,2747,6842,6781,6672,6721
26,2772,6977,6937,6817,6897
27,2819,7021,7021,6931,7021
28,2905,6985,6984,6935,6985
29,3022,8169,7768,6869,7369
30,3215,8327,8266,7977,8177
31,3305,9258,8729,8238,8437
32,3453,9351,9290,9111,9231
33,3510,9746,9562,9296,9304
35,3596,9720,9694,9660,9670
34,3658,10059,10008,9659,9959
36,3677,10411,10235,10041,10090
37,3730,10929,10733,10359,10438
40,4022,11118,10917,10638,10718
38,4061,11610,11358,11080,11089
41,4113,11949,11914,11559,11858
39,4170,12643,12251,11893,11942
43,4436,13088,12836,12378,12467
42,4460,13574,13323,13064,13073
44,4571,13994,13705,13464,13563
46,4718,14197,14113,13847,14047
45,4738,14187,14187,14177,14187
48,4807,14519,14455,14119,14419
47,4971,14405,14405,14355,14405
49,5093,14293,14293,14283,14293
