ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,211,316,316,156,316
2,375,233,207,153,182
3,388,704,477,574,250
5,685,1304,1055,834,739
12,1382,1323,1318,1283,1313
15,1587,1678,1678,1668,1678
17,1861,1649,1648,1639,1649
10,1051,2972,2575,2772,988
22,2447,2110,2109,2100,2110
4,576,4463,4463,4263,4463
31,3331,2967,2966,2917,2967
16,1846,4603,4603,4523,4603
18,1904,4887,2354,4607,1656
25,2513,6448,6448,6368,6448
24,2590,6773,6773,6693,6773
50,5267,4207,4207,4177,4207
29,3025,7223,7207,7053,7193
58,5968,4983,4978,4923,4973
67,6986,5584,5584,5574,5584
35,3795,8825,8760,8525,8725
39,4115,10001,9986,9821,9971
79,8057,6722,6722,6692,6722
84,8431,7182,7182,7172,7182
44,4595,11119,11119,10969,11119
11,1292,15296,8235,14936,1171
94,9462,8118,8093,8038,8068
53,5306,12466,12466,12386,12466
51,5367,12556,9250,12376,4287
14,1425,16790,11554,16250,3645
54,5401,12974,12954,12764,12944
56,5672,13014,8800,12914,4586
55,5741,13005,10888,12825,4597
57,5769,13068,13043,12878,13018
60,6121,12987,8964,12887,4941
32,3329,15819,15813,15489,15799
62,6403,13037,13037,12947,13037
64,6472,13058,13058,12948,13058
63,6499,13182,10526,12932,5267
66,6854,13279,10704,13169,5555
70,7133,13230,13230,13150,13230
72,7336,13329,13329,13229,13329
38,3929,16877,16871,16497,16856
74,7415,13471,13456,13291,13441
21,2205,18963,18962,18703,18963
42,4289,17380,17380,17140,17380
81,8105,13703,13703,13553,13703
82,8238,13762,11465,13562,6913
0,49,21988,13202,21348,39
83,8365,13786,13772,13556,13746
43,4534,17637,12969,17387,3734
23,2485,19838,18519,19348,13250
87,8986,13898,12267,13628,7420
91,9129,13906,10781,13756,7659
93,9329,13987,13987,13907,13987
95,9504,14112,9625,13922,8106
28,2868,20800,14280,20390,6576
52,5378,18360,18360,18160,18360
34,3506,21178,21178,20978,21178
9,1131,24478,18617,24058,1039
40,4263,21465,21465,21155,21465
46,4805,21365,21365,21165,21365
47,4827,21544,12771,21184,3993
90,9024,17517,17517,17397,17517
97,9912,17232,15624,17012,14016
99,10141,17073,15317,16753,8293
61,6381,21186,21161,20566,21136
71,7323,20947,19761,20447,17983
73,7349,20971,17168,20671,13366
76,7833,20687,20687,20187,20687
80,8078,20593,20592,20263,20593
20,2275,26447,16653,25917,1939
26,2836,26739,10411,26419,2244
33,3590,26488,14712,26158,2939
36,3667,26560,17495,26090,8430
41,4347,26432,26432,26132,26432
49,4954,26177,26177,25677,26177
48,4965,26317,22751,25617,12104
59,5942,25691,21452,25301,12975
68,6802,25132,17960,24652,13160
77,7855,24431,21162,24011,17894
6,752,31635,24128,30865,1610
85,8788,23750,20390,22860,7056
88,8958,23680,23679,23380,23680
92,9354,23434,22740,22484,20069
96,9641,23197,23197,22897,23197
7,924,32167,32167,31377,32167
8,939,32202,25260,31222,23525
13,1440,32404,24565,31694,8889
19,1945,32200,27288,30700,26024
27,2941,31505,29145,30705,26785
30,3093,31402,13478,30622,7386
37,3898,30798,27220,29778,16486
45,4590,30257,30257,29747,30257
65,6586,28462,26018,27462,21131
69,7083,28065,28048,27055,28015
75,7536,27662,19755,26772,13380
78,7913,27335,27335,26715,27335
86,8887,26412,21741,25612,20185
89,9145,26204,20386,25464,17467
98,9868,25530,25530,24810,25530
