ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,172,1118,602,18,117
2,372,1235,1096,945,954
1,395,1310,1310,1210,1310
3,421,1346,1329,1286,1315
4,525,1252,1252,1242,1252
5,543,1517,1415,1237,1316
6,847,1455,1369,1215,1294
8,872,1661,1645,1431,1631
7,876,1999,1807,1659,1667
9,931,2454,2448,1944,2444
10,1235,2281,2221,2151,2161
13,1312,2415,2409,2205,2405
11,1387,2942,2785,2342,2641
12,1424,3687,3535,2907,3205
15,1514,3807,3801,3597,3797
14,1659,3863,3802,3663,3743
16,1810,3883,3822,3713,3762
17,1827,3987,3968,3867,3946
18,1935,3978,3978,3878,3978
19,2007,4418,4179,3908,4006
21,2173,4303,4302,4253,4303
20,2183,4433,4379,4293,4302
23,2406,5232,4801,4212,4410
22,2453,5305,5305,5185,5305
24,2528,5281,5281,5231,5281
25,2708,5411,5261,5101,5111
26,2813,6027,5913,5307,5807
27,2890,6570,6320,5950,6070
28,2938,6863,6765,6523,6613
30,3044,7689,7354,6759,7058
29,3135,7718,7718,7598,7718
31,3320,7583,7583,7533,7583
32,3333,8291,8044,7571,7671
33,3361,9095,8842,8265,8343
36,3616,9191,8947,8841,8850
35,3622,9305,9305,9185,9305
34,3655,9993,9882,9273,9772
38,3869,10010,9995,9780,9980
37,3917,10173,10086,9963,9992
40,4043,10768,10365,10048,10057
39,4111,11311,11113,10701,10780
43,4300,11323,11323,11123,11323
42,4351,11472,11472,11272,11472
41,4380,11754,11603,11444,11453
44,4495,12310,11853,11640,11669
47,4715,12741,12482,12091,12140
45,4767,12730,12725,12690,12720
46,4815,12712,12712,12682,12712
48,4902,12996,12858,12626,12725
49,5107,13592,13441,12792,13291
