ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,125,691,455,11,310
1,239,1079,874,599,687
3,339,1349,1105,979,988
2,463,1599,1451,1229,1278
4,673,1830,1721,1390,1469
5,686,1827,1827,1817,1827
7,804,1941,1884,1711,1830
6,832,2604,2360,1914,2113
9,958,2740,2658,2480,2599
10,1034,2755,2713,2665,2674
8,1067,3163,2988,2723,2842
11,1346,3756,3468,2886,3185
13,1403,4401,4039,3701,3820
12,1429,4696,4492,4376,4385
14,1561,4744,4694,4564,4644
15,1594,5262,5011,4712,4761
16,1658,5379,5341,5199,5278
17,1773,5384,5384,5264,5384
18,1806,5412,5386,5352,5361
20,2107,5492,5361,5112,5191
19,2197,6135,5808,5405,5484
21,2378,6864,6595,5954,6453
23,2485,7378,7187,6758,6957
22,2495,7640,7555,7370,7489
24,2542,7722,7717,7592,7712
26,2698,7576,7576,7566,7576
25,2703,7892,7791,7572,7691
27,2782,8324,8193,7814,8013
28,2959,8357,8280,8147,8227
31,3100,9017,8846,8217,8716
29,3154,9124,9087,8964,9043
30,3204,9354,9314,9074,9274
32,3343,10426,10145,9216,9715
33,3504,11066,10539,10266,10345
36,3609,11321,11201,10961,10991
34,3616,11916,11765,11316,11615
35,3698,11954,11954,11834,11954
37,3749,12013,11963,11903,11913
39,3905,11937,11937,11857,11937
38,3928,12215,12115,11915,12015
40,4065,12429,12238,12079,12088
42,4288,12487,12414,12207,12306
41,4300,12686,12577,12476,12525
44,4532,12785,12770,12455,12755
43,4577,12981,12907,12741,12860
45,4610,13398,13308,12948,13248
47,4720,13519,13452,13289,13368
46,4731,14309,14158,13509,14008
48,5003,14157,14142,14037,14127
49,5102,14588,14338,14058,14088
51,5144,15237,15001,14547,14556
52,5233,15759,15483,15149,15268
50,5273,16260,15949,15720,15729
53,5460,16824,16631,16074,16193
55,5510,17074,17074,16774,17074
54,5579,17226,17165,17006,17105
56,5808,17638,17461,16998,17297
57,5969,18018,17807,17478,17597
58,5976,18021,18021,18011,18021
59,6013,17994,17994,17984,17994
60,6222,18189,18088,17789,17905
61,6251,18830,18756,18160,18660
62,6277,19206,19054,18806,18895
63,6575,19608,19407,18908,19208
65,6647,19617,19616,19537,19617
64,6667,19897,19897,19597,19897
67,6746,20149,19987,19819,19828
68,6823,20723,20363,20073,20082
66,6860,20936,20836,20686,20736
69,7099,21307,21034,20697,20786
71,7179,21658,21453,21228,21257
70,7185,21663,21663,21653,21663
74,7415,21464,21463,21434,21464
72,7461,21658,21597,21418,21538
73,7532,21748,21702,21588,21618
75,7615,22265,22024,21665,21694
76,7695,22746,22473,22186,22285
77,7707,23354,23104,22734,22854
78,7892,23460,23300,23170,23180
80,8007,23445,23445,23345,23445
79,8197,23977,23848,23257,23756
81,8370,24745,24444,23805,24304
83,8411,25604,25370,24704,25004
82,8495,26241,25818,25521,25640
84,8590,26836,26472,26146,26246
86,8699,27719,27388,26729,27228
85,8723,27785,27780,27695,27775
87,8800,27839,27768,27709,27718
88,9045,28535,28070,27595,27674
89,9131,28629,28579,28449,28529
92,9206,28935,28750,28555,28564
90,9274,29078,29020,28868,28987
93,9362,29580,29523,28990,29490
91,9381,29712,29651,29562,29591
95,9536,30067,29863,29557,29757
96,9609,30175,30124,29995,30073
94,9608,31256,30842,30176,30205
97,9987,31721,31268,30881,30910
98,9996,32312,32162,31712,32012
99,10073,32726,32521,32236,32245
