ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
0,81,230,111,20,29
3,436,140,140,90,140
1,285,382,290,122,89
4,438,319,238,209,77
6,834,337,268,147,65
15,1524,171,145,71,121
13,1549,519,518,359,519
19,2060,58,58,8,58
18,2021,198,198,98,198
20,2153,167,166,67,167
24,2604,78,78,48,78
32,3245,373,227,243,81
29,3129,821,821,631,821
39,4009,72,72,62,72
38,3939,514,326,304,232
44,4493,242,242,92,242
45,4787,139,139,59,139
48,5094,154,123,54,93
41,4148,1601,908,1341,215
11,1242,4910,4909,4720,4910
42,4418,1933,1130,1703,930
17,1709,5004,5003,4754,5004
23,2472,4361,4360,4231,4361
30,3285,4950,4950,4750,4950
31,3175,5460,5460,5060,5460
12,1401,7436,7435,7016,7435
47,4960,4076,4076,3646,4076
9,1164,8874,3747,8344,18
14,1658,8981,5519,8371,330
28,3073,7866,3215,7366,82
27,2834,8407,7270,7897,5001
8,858,10684,8065,10174,213
16,1686,10156,2586,9786,20
40,4198,9145,3663,8525,34
22,2367,12777,8210,11997,63
46,4670,10975,10975,10365,10975
2,300,15846,15846,15046,15846
25,2734,13912,8298,12742,260
35,3569,13577,13577,12407,13577
49,5147,12500,12500,11990,12500
7,709,17439,8748,16929,58
5,676,17973,8614,17133,606
26,2833,16315,14012,15185,4801
37,3918,15731,7385,14601,153
10,1190,18961,12953,17961,10952
21,2374,18277,18277,17537,18277
36,3814,17337,11334,16317,2035
43,4391,17261,12005,15951,10253
33,3360,18792,14110,18192,67
34,3592,19061,15640,18301,1957
