ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
3,515,1624,1365,1324,1229
5,696,1664,1644,1494,1624
1,131,3315,919,3005,66
9,966,2684,2618,2504,2553
0,163,4141,1818,3651,107
21,2343,2283,2283,2273,2283
14,1470,4444,4444,4334,4444
4,450,5565,2062,5325,306
36,3816,3203,3203,3153,3203
19,2037,5043,2947,4913,1885
39,4030,3159,3129,3049,3099
18,2052,5168,5168,5088,5168
8,1020,6221,3765,5841,906
45,4565,3551,3539,3521,3530
34,3535,8510,8510,8410,8510
38,3808,9254,9162,9074,9071
40,4299,9566,9566,9466,9566
11,1121,13186,13186,12986,13186
77,7822,6645,6645,6635,6645
43,4554,10467,10466,10387,10467
82,8473,7331,7331,7321,7331
85,8579,7375,7375,7325,7375
47,4856,11501,11375,11321,11249
24,2548,13830,5159,13660,2260
49,5003,11946,11946,11856,11946
90,9170,7940,7940,7910,7940
26,2688,15156,10903,14946,2402
101,10257,8944,8944,8894,8944
57,5819,13743,13743,13643,13743
105,10681,9213,9213,9163,9213
30,3030,16885,16365,16585,16192
113,11459,9842,9842,9812,9842
63,6447,16200,15978,15990,15868
66,6676,16846,16820,16666,16795
126,12643,11401,11395,11361,11390
67,6922,17766,13779,17576,5986
133,13580,12111,12111,12101,12111
134,13656,12266,12266,12256,12266
71,7286,18728,18728,18638,18728
136,13872,12231,12216,12191,12201
138,13892,12312,12287,12212,12262
75,7714,19759,19759,19679,19759
80,8021,19784,19784,19704,19784
146,14890,13466,13466,13456,13466
84,8668,22069,22069,21969,22069
88,8876,22594,22594,22464,22594
166,16682,14928,14928,14918,14928
89,9115,23058,17983,22868,7865
171,17121,15111,15106,15051,15101
6,722,31662,31662,31132,31662
92,9202,23403,23403,23303,23403
174,17673,15905,15905,15895,15905
178,18008,15962,15962,15952,15962
53,5318,29146,29146,29016,29146
188,19095,16764,16759,16704,16754
102,10329,25963,25963,25863,25963
192,19364,16988,16988,16978,16988
103,10434,25949,25949,25869,25949
106,10664,26533,14860,26413,9019
104,10677,26781,26761,26591,26741
108,10854,26865,26865,26785,26865
109,11076,27178,27178,27088,27178
33,3352,35093,18373,34743,2794
61,6289,32517,27006,32107,4962
114,11618,27549,27539,27359,27519
7,842,39019,11513,38559,2345
121,12133,27867,20971,27587,10664
124,12583,28122,22507,27982,11281
127,12801,28215,28166,27825,28094
135,13634,28476,20344,28316,12208
74,7423,34969,34911,34599,34778
140,14219,28534,28534,28454,28534
143,14326,28668,28668,28508,28668
78,8053,35344,35344,35114,35344
153,15458,28841,28841,28731,28841
159,15942,29291,29291,29201,29291
158,15966,29307,21948,29167,14589
160,16021,29332,29307,29152,29282
162,16387,29358,29358,29258,29358
87,8958,37209,31374,36739,22603
169,17128,29290,29269,29120,29249
175,17520,29540,29540,29460,29540
94,9443,37859,30937,37429,23925
13,1449,46326,31318,45876,1305
181,18270,29594,29594,29504,29594
186,18604,29752,29752,29662,29752
99,9902,38475,18599,38315,8656
185,18690,29826,23181,29726,16536
187,18737,29970,26605,29630,16640
12,1460,47299,25023,46689,1405
55,5688,43221,43221,42911,43221
195,19525,29865,24756,29705,17078
197,19746,30146,27582,29856,17460
117,11855,39445,20051,39265,10350
65,6679,45314,37420,44974,5847
130,13227,39126,30001,38856,11771
69,7073,45332,45332,45132,45332
131,13398,39146,29651,38786,11982
76,7643,45426,45426,45076,45426
145,14683,38846,38846,38536,38846
151,15125,38646,38646,38516,38646
81,8308,45765,37826,45255,35842
23,2327,52098,32442,51198,2088
22,2351,52194,27239,51884,2285
97,9764,46769,27605,46559,8441
27,2868,54057,20671,53547,2473
190,19259,38037,27484,37907,16932
199,19993,37714,33847,37404,29980
32,3304,54556,54556,54256,54556
110,11186,46974,37066,46684,27158
31,3384,55329,39601,54899,8149
119,11921,46892,34190,46602,27839
