ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,125,343,316,13,313
0,267,296,296,216,295
2,360,733,718,203,703
3,415,1232,1085,682,880
4,644,1604,1553,1004,1503
5,662,2638,2395,1588,1886
6,828,2593,2544,2473,2482
8,855,2717,2680,2567,2656
7,964,2909,2858,2609,2808
9,1026,3047,3046,2847,3047
10,1075,3630,3304,3000,3118
12,1265,3851,3738,3441,3640
11,1303,4715,4441,3815,4314
13,1441,4627,4627,4577,4627
14,1480,5480,5269,4590,5089
15,1571,5951,5926,5391,5890
17,1838,5845,5783,5685,5694
16,1870,6314,6314,5814,6314
18,1920,6562,6428,6262,6351
19,2082,6734,6577,6404,6433
20,2145,7172,7171,6672,7172
21,2390,7426,7275,6926,7126
24,2472,7636,7481,7346,7355
22,2485,8545,8208,7625,7924
23,2536,8935,8699,8495,8504
25,2537,8965,8964,8935,8965
26,2728,9123,9098,8773,9073
27,2878,9135,9109,8975,9064
29,3010,9303,9303,9003,9303
28,3037,9327,9326,9277,9327
31,3188,9266,9242,9176,9206
30,3224,9531,9531,9231,9531
32,3406,10041,9570,9351,9399
34,3561,10006,10006,9886,10006
33,3572,10616,10324,9996,10095
35,3612,10707,10682,10577,10657
36,3678,11012,10847,10642,10721
37,3781,10919,10919,10909,10919
38,4037,10896,10782,10666,10693
40,4048,11786,11389,10886,10985
39,4110,12095,11924,11725,11734
41,4238,12147,12117,11967,12087
42,4277,12979,12776,12109,12609
44,4426,13441,13267,12831,12931
43,4477,13701,13546,13391,13420
45,4538,14041,13865,13641,13741
46,4745,13995,13955,13835,13915
48,4903,14188,13950,13838,13847
47,4961,14260,14255,14130,14250
49,5135,14177,14177,14087,14177
