ID,ArrivalTime,TotalTime,TurnaroundAvg,WaitingTime,ResponseTime
1,128,46,31,16,46
0,249,244,134,54,10
2,408,115,115,35,115
8,821,2083,2083,1963,2083
22,2389,2339,2302,2259,2268
6,778,4121,4121,3901,4121
25,2749,2532,2487,2402,2452
27,2772,2570,2570,2560,2570
16,1620,4576,4575,4426,4576
19,1907,5455,5455,5305,5455
46,4730,4533,4487,4393,4443
11,1281,8294,3511,8024,1139
67,6750,6552,6515,6442,6492
65,6763,6569,6569,6539,6569
38,3838,11234,11006,10984,10932
77,7751,7571,7571,7561,7571
43,4564,13058,8649,12928,4226
88,9010,8722,8722,8712,8722
93,9300,8845,8839,8785,8834
45,4756,13742,9244,13632,4749
23,2596,16243,11569,16103,2222
24,2690,16320,9301,16010,2259
59,6150,14848,14848,14758,14848
17,1710,20525,11039,19945,4737
33,3570,18735,18734,18535,18735
73,7376,15611,15611,15461,15611
40,4298,19524,14763,19204,3719
82,8271,15842,15827,15682,15812
81,8291,15922,15922,15822,15922
84,8642,15914,14012,15744,8307
21,2103,22756,14591,22466,6427
57,5860,21288,21288,21168,21288
56,5891,21277,10931,21077,5733
64,6495,21377,19363,21127,15337
70,7111,21133,21133,21013,21133
35,3702,24714,21718,24214,18724
9,1114,28467,28467,28137,28467
44,4682,25421,25420,25101,25421
91,9120,21072,21072,20862,21072
54,5466,25904,22102,25534,14498
53,5534,25886,21357,25416,14550
58,5805,25866,22137,25576,14681
63,6476,25797,25757,25147,25747
69,7119,25506,25506,25086,25506
20,2050,31630,14514,31180,5957
90,9287,24944,24944,24744,24944
94,9611,24771,24771,24571,24771
96,9892,24741,24741,24461,24741
99,9924,24759,24759,24479,24759
3,553,34282,20579,33542,10
30,3047,32340,17436,31870,2606
31,3226,32613,25178,31953,2980
32,3427,32512,17771,32202,3031
34,3507,32482,32481,31882,32482
36,3768,32472,32471,32172,32472
42,4485,32507,24175,31967,20000
47,4743,32700,23212,32020,4530
48,4860,32734,25586,32244,20822
51,5367,32634,32606,31924,32578
4,689,37563,30218,36813,842
55,5764,32537,32537,32147,32537
60,6104,32348,32348,32038,32348
61,6205,32297,21783,31487,14834
72,7345,31509,26324,31069,21140
75,7558,31396,25045,30636,15520
74,7624,31380,29873,30840,25352
78,7826,31329,23417,30879,7596
76,7897,31358,31358,30928,31358
86,8690,30867,30867,30567,30867
5,698,39011,26144,38381,410
92,9332,30576,18999,30146,8853
98,10078,30132,25960,29702,9273
7,906,39807,39806,39097,39807
10,1109,40056,14023,39256,2662
12,1276,40290,30433,39210,962
13,1455,40613,40579,39563,40513
14,1614,40605,21010,39805,1391
15,1756,40714,40714,39934,40714
18,1910,40761,38336,39431,31168
28,2846,40629,40628,40039,40629
26,2894,40631,40630,40091,40631
29,3179,40397,29289,39227,17579
37,3836,39990,25416,39410,10844
39,4132,39741,39741,39111,39741
41,4323,39703,39703,38783,39703
49,4968,39410,39410,38910,39410
50,5193,39335,33038,38605,14147
52,5391,39187,30654,38557,5057
62,6279,38350,38349,37530,38349
68,6815,37864,37864,37144,37864
66,6874,37855,37855,37355,37855
71,7132,37647,27081,36927,6954
80,8145,36684,36684,35934,36684
79,8161,36718,24280,36098,7894
83,8424,36506,19995,35786,15860
87,8729,36251,29298,35421,8441
85,8777,36253,25980,35443,16121
89,9093,35987,26901,35357,8730
95,9669,35511,35471,34371,35461
97,9933,35348,35331,34268,35297
